video-id,t-start,t-end,score,label
video_validation_0000314,724.5,725.1,0.29112095,HammerThrow
video_validation_0000314,727.0,742.9,0.97926915,HammerThrow
video_validation_0000314,743.9,746.6,0.4589008,HammerThrow
video_validation_0000314,747.8,750.3,0.48230934,HammerThrow
video_validation_0000314,755.2,760.5,0.6251901,HammerThrow
video_validation_0000314,762.8,762.8,-0.5301373,HammerThrow
video_validation_0000314,765.5,767.1,0.29276663,HammerThrow
video_validation_0000314,767.8,768.3,0.31315666,HammerThrow
video_validation_0000314,771.0,771.4,0.34810573,HammerThrow
video_validation_0000314,772.7,773.2,0.4603967,HammerThrow
video_validation_0000314,774.1,774.2,0.2532117,HammerThrow
video_validation_0000314,775.4,778.2,0.4232641,HammerThrow
video_validation_0000314,782.8,783.1,0.39437333,HammerThrow
video_validation_0000314,786.3,786.6,0.21704534,HammerThrow
video_validation_0000314,787.4,787.6,0.31104434,HammerThrow
video_validation_0000314,794.0,798.6,0.97688407,HammerThrow
video_validation_0000314,801.5,802.0,0.31742823,HammerThrow
video_validation_0000314,804.6,809.9,0.43737853,HammerThrow
video_validation_0000314,812.1,814.5,0.3711583,HammerThrow
video_validation_0000314,815.3,818.1,0.8562784,HammerThrow
video_validation_0000314,821.9,829.2,1.0140247,HammerThrow
video_validation_0000314,832.1,839.2,0.8841333,HammerThrow
video_validation_0000314,841.4,842.4,0.67374825,HammerThrow
video_validation_0000314,843.2,849.6,1.1056719,HammerThrow
video_validation_0000314,850.6,858.3,0.8277186,HammerThrow
video_validation_0000314,860.5,861.3,0.62137115,HammerThrow
video_validation_0000314,862.0,862.4,0.56113875,HammerThrow
video_validation_0000314,863.9,867.7,0.6808528,HammerThrow
video_validation_0000314,870.7,871.0,0.3182631,HammerThrow
video_validation_0000314,873.7,876.8,0.43290505,HammerThrow
video_validation_0000314,879.3,880.1,0.88702387,HammerThrow
video_validation_0000314,882.8,887.4,0.68609405,HammerThrow
video_validation_0000314,890.1,894.2,0.43110022,HammerThrow
video_validation_0000314,894.9,895.3,0.3150624,HammerThrow
video_validation_0000314,896.3,897.5,0.6587212,HammerThrow
video_validation_0000059,4.8,13.2,2.0852144,Billiards
video_validation_0000059,22.7,31.3,1.5698916,Billiards
video_validation_0000059,37.7,53.3,1.7413027,Billiards
video_validation_0000059,55.7,56.1,0.42434618,Billiards
video_validation_0000059,67.5,71.2,1.4539711,Billiards
video_validation_0000059,77.8,78.4,1.5772647,Billiards
video_validation_0000059,81.5,88.5,1.9050918,Billiards
video_validation_0000059,90.8,95.3,1.5779556,Billiards
video_validation_0000059,110.8,115.9,1.5693182,Billiards
video_validation_0000059,123.1,130.1,1.0523981,Billiards
video_validation_0000059,132.4,137.8,1.9124825,Billiards
video_validation_0000059,144.8,154.2,1.8157846,Billiards
video_validation_0000059,166.6,179.3,2.2449644,Billiards
video_validation_0000059,182.6,194.9,1.695414,Billiards
video_validation_0000059,201.5,207.4,1.9739587,Billiards
video_validation_0000059,211.0,219.4,1.7353177,Billiards
video_validation_0000682,0.0,23.8,0.86835223,BaseballPitch
video_validation_0000682,29.9,30.6,0.2583586,BaseballPitch
video_validation_0000682,40.2,40.4,0.12594678,BaseballPitch
video_validation_0000682,67.0,67.9,0.2527752,BaseballPitch
video_validation_0000682,69.0,72.0,0.11553024,BaseballPitch
video_validation_0000682,89.0,96.5,0.44997075,BaseballPitch
video_validation_0000682,142.2,156.9,0.8362927,BaseballPitch
video_validation_0000682,158.3,166.0,0.6401879,BaseballPitch
video_validation_0000681,10.7,11.1,0.4985364,BaseballPitch
video_validation_0000681,12.1,15.1,0.5269422,BaseballPitch
video_validation_0000681,23.1,53.0,1.8437053,BaseballPitch
video_validation_0000681,55.0,56.4,0.66851324,BaseballPitch
video_validation_0000937,0.3,0.8,0.41492638,TennisSwing
video_validation_0000937,2.4,5.9,0.8047909,TennisSwing
video_validation_0000937,7.4,11.9,1.7057235,TennisSwing
video_validation_0000937,12.6,24.7,1.8566835,TennisSwing
video_validation_0000937,35.4,49.2,2.2589996,TennisSwing
video_validation_0000315,4.8,15.3,1.0643796,HammerThrow
video_validation_0000315,33.4,35.5,0.4128093,HammerThrow
video_validation_0000315,45.5,51.3,1.0506033,HammerThrow
video_validation_0000315,55.6,55.7,0.28441992,HammerThrow
video_validation_0000315,58.7,67.8,1.2347773,HammerThrow
video_validation_0000315,69.4,72.1,0.29769826,HammerThrow
video_validation_0000315,74.5,84.9,1.0911852,HammerThrow
video_validation_0000315,121.0,128.4,1.0058922,HammerThrow
video_validation_0000688,7.1,8.2,0.27650735,BaseballPitch
video_validation_0000688,11.3,24.1,1.3158449,BaseballPitch
video_validation_0000688,34.1,44.1,0.4867662,BaseballPitch
video_validation_0000688,66.5,69.5,0.34993127,BaseballPitch
video_validation_0000688,74.6,85.1,0.66755986,BaseballPitch
video_validation_0000283,0.0,0.8,0.3190926,GolfSwing
video_validation_0000283,2.3,14.9,0.25999087,GolfSwing
video_validation_0000283,16.7,19.1,0.3446119,GolfSwing
video_validation_0000283,24.0,25.6,0.4461866,GolfSwing
video_validation_0000283,27.8,30.0,0.1457931,GolfSwing
video_validation_0000283,31.4,35.2,0.2699237,GolfSwing
video_validation_0000283,40.3,40.4,0.16789997,GolfSwing
video_validation_0000283,43.3,44.3,0.29745448,GolfSwing
video_validation_0000283,47.8,48.6,0.47423565,GolfSwing
video_validation_0000283,49.9,61.6,0.6728788,GolfSwing
video_validation_0000366,0.4,13.1,0.836688,HighJump
video_validation_0000366,16.2,16.6,0.20332852,HighJump
video_validation_0000366,17.4,18.6,0.27950722,HighJump
video_validation_0000367,5.9,7.2,0.07935162,HighJump
video_validation_0000367,11.5,14.6,0.12600993,HighJump
video_validation_0000367,15.4,16.1,0.055974074,HighJump
video_validation_0000367,19.2,21.3,0.17800139,HighJump
video_validation_0000367,23.5,41.9,0.79591507,HighJump
video_validation_0000367,74.8,78.6,0.39575508,HighJump
video_validation_0000367,80.0,84.0,0.10766466,HighJump
video_validation_0000367,85.3,90.4,0.6687812,HighJump
video_validation_0000367,91.2,103.7,0.6502084,HighJump
video_validation_0000367,104.8,114.9,0.52269304,HighJump
video_validation_0000367,116.2,128.4,0.5781827,HighJump
video_validation_0000367,131.0,135.0,0.5995826,HighJump
video_validation_0000289,6.3,8.9,0.7329458,GolfSwing
video_validation_0000289,11.3,26.0,1.2889285,GolfSwing
video_validation_0000289,40.6,41.1,0.56921613,GolfSwing
video_validation_0000289,42.5,46.1,0.8450187,GolfSwing
video_validation_0000289,47.6,51.0,0.684166,GolfSwing
video_validation_0000289,51.8,55.0,0.62966895,GolfSwing
video_validation_0000289,57.6,59.1,0.7398774,GolfSwing
video_validation_0000289,62.4,69.9,1.1218922,GolfSwing
video_validation_0000289,71.1,90.2,1.4558938,GolfSwing
video_validation_0000289,91.2,124.1,0.9842125,GolfSwing
video_validation_0000943,4.1,21.2,1.855628,HammerThrow
video_validation_0000943,25.4,25.6,0.6485725,HammerThrow
video_validation_0000943,29.8,34.4,1.0193355,HammerThrow
video_validation_0000943,37.8,38.3,0.5576817,HammerThrow
video_validation_0000943,43.9,44.3,0.9228134,HammerThrow
video_validation_0000943,47.8,52.1,0.64301765,HammerThrow
video_validation_0000943,62.8,75.3,1.0803342,HammerThrow
video_validation_0000943,79.7,92.8,1.0229189,HammerThrow
video_validation_0000851,6.7,24.2,1.7553663,SoccerPenalty
video_validation_0000363,18.2,19.6,0.35931927,HighJump
video_validation_0000363,22.8,24.2,0.5387853,HighJump
video_validation_0000363,25.4,33.5,0.83373845,HighJump
video_validation_0000363,39.3,39.8,0.10585046,HighJump
video_validation_0000363,40.8,41.1,0.1292967,HighJump
video_validation_0000363,47.0,68.5,1.1896238,HighJump
video_validation_0000363,72.2,73.4,0.14391848,HighJump
video_validation_0000363,76.7,78.1,0.17595236,HighJump
video_validation_0000363,80.0,81.6,0.4295049,HighJump
video_validation_0000363,82.5,85.3,0.35088912,HighJump
video_validation_0000363,101.9,107.0,0.87551206,HighJump
video_validation_0000363,113.0,119.7,0.68760157,HighJump
video_validation_0000363,120.6,123.7,0.5949368,HighJump
video_validation_0000363,132.2,134.2,0.412416,HighJump
video_validation_0000363,135.4,146.1,0.711497,HighJump
video_validation_0000363,147.1,150.1,0.65253484,HighJump
video_validation_0000363,151.1,161.3,1.1163415,HighJump
video_validation_0000363,177.3,186.7,0.63504493,HighJump
video_validation_0000363,192.8,192.9,0.052788988,HighJump
video_validation_0000363,194.4,195.3,0.35958815,HighJump
video_validation_0000363,201.5,202.8,0.19760826,HighJump
video_validation_0000363,203.5,205.7,0.5480472,HighJump
video_validation_0000363,207.7,210.7,0.5362848,HighJump
video_validation_0000363,213.1,219.4,0.930804,HighJump
video_validation_0000363,220.2,223.8,0.2697673,HighJump
video_validation_0000363,232.8,237.1,0.45264292,HighJump
video_validation_0000363,238.0,241.2,0.36567497,HighJump
video_validation_0000363,254.0,256.5,0.5446938,HighJump
video_validation_0000363,274.9,286.6,1.0284532,HighJump
video_validation_0000363,289.7,300.7,1.0415046,HighJump
video_validation_0000363,302.2,304.4,0.4317304,HighJump
video_validation_0000363,306.7,310.1,0.23197189,HighJump
video_validation_0000363,311.6,313.3,0.3746409,HighJump
video_validation_0000363,314.7,329.7,0.8470607,HighJump
video_validation_0000363,330.9,337.4,0.6006876,HighJump
video_validation_0000363,338.1,340.4,0.498371,HighJump
video_validation_0000363,361.4,362.9,0.26278853,HighJump
video_validation_0000363,363.8,374.2,1.016893,HighJump
video_validation_0000363,375.4,379.3,0.6972725,HighJump
video_validation_0000363,380.0,382.6,0.11396938,HighJump
video_validation_0000363,389.1,392.8,0.25494385,HighJump
video_validation_0000363,393.6,395.0,0.52280426,HighJump
video_validation_0000363,396.1,405.6,0.8646843,HighJump
video_validation_0000363,406.4,416.7,0.70981055,HighJump
video_validation_0000363,418.1,427.5,0.39490432,HighJump
video_validation_0000363,428.4,431.7,0.8534447,HighJump
video_validation_0000363,439.7,445.3,0.56546664,HighJump
video_validation_0000363,456.1,493.2,1.1972411,HighJump
video_validation_0000363,494.2,496.8,0.4676933,HighJump
video_validation_0000363,509.7,514.5,0.8417562,HighJump
video_validation_0000363,519.9,538.8,1.0000135,HighJump
video_validation_0000363,549.3,583.2,1.0260935,HighJump
video_validation_0000363,584.3,594.8,0.7870704,HighJump
video_validation_0000363,598.6,603.6,0.888436,HighJump
video_validation_0000363,604.5,614.7,1.1742312,HighJump
video_validation_0000363,620.2,636.9,0.88538355,HighJump
video_validation_0000363,656.0,659.7,0.86667925,HighJump
video_validation_0000363,710.0,714.8,0.8322364,HighJump
video_validation_0000363,717.6,721.1,0.84016263,HighJump
video_validation_0000363,733.0,736.4,0.94082,HighJump
video_validation_0000685,9.8,14.0,0.2893184,BaseballPitch
video_validation_0000685,16.3,29.9,0.78966653,BaseballPitch
video_validation_0000685,33.4,36.0,0.38603792,BaseballPitch
video_validation_0000685,40.4,43.0,0.4383478,BaseballPitch
video_validation_0000685,46.9,47.4,0.29669797,BaseballPitch
video_validation_0000685,48.2,52.3,0.4742118,BaseballPitch
video_validation_0000685,54.5,58.6,1.0966994,BaseballPitch
video_validation_0000685,63.0,71.5,1.2632873,BaseballPitch
video_validation_0000685,72.9,81.6,1.2145196,BaseballPitch
video_validation_0000685,88.7,94.7,0.5677384,BaseballPitch
video_validation_0000685,101.9,106.7,1.3694537,BaseballPitch
video_validation_0000685,111.3,116.0,1.0021005,BaseballPitch
video_validation_0000685,124.2,127.3,0.91612643,BaseballPitch
video_validation_0000157,1.9,4.0,0.4348767,CleanAndJerk
video_validation_0000157,4.9,9.3,1.2297975,CleanAndJerk
video_validation_0000157,22.1,23.8,0.1834156,CleanAndJerk
video_validation_0000157,24.7,24.8,0.20701462,CleanAndJerk
video_validation_0000157,28.1,28.9,0.2384653,CleanAndJerk
video_validation_0000157,36.9,50.3,1.1726786,CleanAndJerk
video_validation_0000935,4.5,5.0,1.2447343,TennisSwing
video_validation_0000935,15.5,36.6,1.3662086,TennisSwing
video_validation_0000935,43.1,46.8,0.42208317,TennisSwing
video_validation_0000935,55.5,80.1,1.2403476,TennisSwing
video_validation_0000935,84.9,91.4,0.78010744,TennisSwing
video_validation_0000057,10.4,35.4,0.6445029,Billiards
video_validation_0000057,42.8,44.6,0.3456772,Billiards
video_validation_0000057,45.3,45.7,0.24411657,Billiards
video_validation_0000057,46.4,65.8,0.6518597,Billiards
video_validation_0000057,72.3,97.0,0.9270686,Billiards
video_validation_0000057,99.3,114.5,0.56856877,Billiards
video_validation_0000057,128.0,128.6,0.35678205,Billiards
video_validation_0000057,129.4,131.5,0.29642573,Billiards
video_validation_0000057,134.0,134.3,0.2509973,Billiards
video_validation_0000057,146.4,150.1,0.3650536,Billiards
video_validation_0000057,179.7,182.8,0.25928023,Billiards
video_validation_0000057,184.4,191.9,0.2863994,Billiards
video_validation_0000057,199.7,220.0,0.6163502,Billiards
video_validation_0000057,220.8,223.5,0.49258903,Billiards
video_validation_0000057,224.6,227.7,0.6217355,Billiards
video_validation_0000288,0.0,23.1,1.3839128,GolfSwing
video_validation_0000288,24.0,25.1,0.84327674,GolfSwing
video_validation_0000288,26.1,30.8,0.8158712,GolfSwing
video_validation_0000288,40.2,40.7,0.4499466,GolfSwing
video_validation_0000288,44.9,45.6,0.33942074,GolfSwing
video_validation_0000288,47.0,47.6,0.47163606,GolfSwing
video_validation_0000288,56.5,58.0,0.30718905,GolfSwing
video_validation_0000288,61.5,84.4,1.0572175,GolfSwing
video_validation_0000288,99.2,99.9,0.4937243,GolfSwing
video_validation_0000288,106.5,107.5,0.5909735,GolfSwing
video_validation_0000361,102.4,106.8,1.09289,HammerThrow
video_validation_0000361,109.0,125.1,1.633514,HammerThrow
video_validation_0000361,126.4,133.1,1.4603562,HammerThrow
video_validation_0000361,147.5,149.7,0.3078893,HammerThrow
video_validation_0000361,151.9,157.6,1.3456769,HammerThrow
video_validation_0000361,173.8,185.4,0.6724417,HammerThrow
video_validation_0000361,188.7,194.8,1.016326,HammerThrow
video_validation_0000361,195.9,199.8,0.8424069,HammerThrow
video_validation_0000361,202.0,208.2,0.7681671,HammerThrow
video_validation_0000361,216.5,217.4,0.09555549,HammerThrow
video_validation_0000361,219.1,220.7,0.1526923,HammerThrow
video_validation_0000361,228.2,233.7,0.94965404,HammerThrow
video_validation_0000361,236.7,239.7,1.0619463,HammerThrow
video_validation_0000361,240.4,244.4,0.5581625,HammerThrow
video_validation_0000361,246.2,253.2,1.2185923,HammerThrow
video_validation_0000361,259.3,270.7,1.2553216,HammerThrow
video_validation_0000361,272.0,313.4,1.3018845,HammerThrow
video_validation_0000361,319.0,322.8,0.956579,HammerThrow
video_validation_0000361,324.2,329.4,0.5233477,HammerThrow
video_validation_0000361,331.1,334.3,0.6886201,HammerThrow
video_validation_0000361,336.2,352.4,1.00181,HammerThrow
video_validation_0000361,359.7,365.5,1.2400522,HammerThrow
video_validation_0000361,369.9,381.5,0.7555269,HammerThrow
video_validation_0000361,394.9,403.1,1.212872,HammerThrow
video_validation_0000361,410.3,427.0,1.2582464,HammerThrow
video_validation_0000361,429.9,435.5,0.81714565,HammerThrow
video_validation_0000361,443.9,451.5,0.94966,HammerThrow
video_validation_0000361,458.7,460.9,0.7244306,HammerThrow
video_validation_0000361,464.9,473.1,1.0429262,HammerThrow
video_validation_0000361,483.3,488.1,1.1514087,HammerThrow
video_validation_0000361,497.0,500.0,0.5202383,HammerThrow
video_validation_0000361,505.7,508.8,0.7376457,HammerThrow
video_validation_0000361,511.0,515.8,0.8913494,HammerThrow
video_validation_0000361,532.0,538.2,0.49526632,HammerThrow
video_validation_0000361,571.1,573.7,0.79076284,HammerThrow
video_validation_0000361,577.4,581.7,1.0588166,HammerThrow
video_validation_0000361,583.6,586.4,0.8643714,HammerThrow
video_validation_0000361,587.2,609.7,1.3758768,HammerThrow
video_validation_0000361,613.6,617.7,0.51271176,HammerThrow
video_validation_0000361,626.3,630.9,0.80627674,HammerThrow
video_validation_0000361,643.1,649.5,0.9815047,HammerThrow
video_validation_0000361,664.7,677.6,1.1314662,HammerThrow
video_validation_0000286,28.2,30.6,0.7493532,GolfSwing
video_validation_0000286,31.3,32.3,0.3483826,GolfSwing
video_validation_0000286,34.0,36.3,0.62139624,GolfSwing
video_validation_0000286,39.5,40.4,0.61181855,GolfSwing
video_validation_0000286,42.7,46.1,0.67668456,GolfSwing
video_validation_0000286,53.8,54.2,0.40317866,GolfSwing
video_validation_0000286,60.1,61.0,0.86785764,GolfSwing
video_validation_0000286,63.6,65.9,0.7011781,GolfSwing
video_validation_0000286,67.8,71.8,0.75409126,GolfSwing
video_validation_0000286,77.6,84.7,0.9680587,GolfSwing
video_validation_0000286,85.9,93.7,1.2691529,GolfSwing
video_validation_0000286,94.9,99.1,1.1319299,GolfSwing
