video-id,t-start,t-end,label
video_validation_0000318,159.8,164.9,HammerThrow
video_validation_0000318,165.8,171.3,HammerThrow
video_validation_0000318,171.6,174.5,HammerThrow
video_validation_0000318,175.4,180.5,HammerThrow
video_validation_0000318,180.9,186.7,HammerThrow
video_validation_0000314,0.0,9.1,HammerThrow
video_validation_0000314,11.2,20.4,HammerThrow
video_validation_0000314,21.2,30.1,HammerThrow
video_validation_0000314,31.6,38.2,HammerThrow
video_validation_0000314,40.0,49.1,HammerThrow
video_validation_0000314,49.7,58.7,HammerThrow
video_validation_0000314,62.7,70.6,HammerThrow
video_validation_0000314,74.0,82.1,HammerThrow
video_validation_0000314,84.3,92.2,HammerThrow
video_validation_0000314,93.0,100.0,HammerThrow
video_validation_0000314,101.4,110.4,HammerThrow
video_validation_0000314,112.4,119.3,HammerThrow
video_validation_0000314,120.5,130.2,HammerThrow
video_validation_0000314,133.2,140.3,HammerThrow
video_validation_0000314,141.2,148.7,HammerThrow
video_validation_0000314,149.6,157.3,HammerThrow
video_validation_0000314,161.0,169.0,HammerThrow
video_validation_0000314,173.5,182.5,HammerThrow
video_validation_0000314,183.1,190.2,HammerThrow
video_validation_0000314,191.5,199.0,HammerThrow
video_validation_0000314,200.0,210.0,HammerThrow
video_validation_0000314,215.0,222.0,HammerThrow
video_validation_0000314,222.9,228.8,HammerThrow
video_validation_0000314,229.9,235.9,HammerThrow
video_validation_0000314,240.0,248.6,HammerThrow
video_validation_0000314,249.6,254.8,HammerThrow
video_validation_0000314,256.3,263.1,HammerThrow
video_validation_0000314,264.1,271.4,HammerThrow
video_validation_0000314,274.5,282.7,HammerThrow
video_validation_0000314,287.6,295.3,HammerThrow
video_validation_0000314,295.7,303.0,HammerThrow
video_validation_0000314,304.1,315.1,HammerThrow
video_validation_0000314,316.4,326.9,HammerThrow
video_validation_0000314,329.8,338.2,HammerThrow
video_validation_0000314,340.2,344.8,HammerThrow
video_validation_0000314,345.9,354.3,HammerThrow
video_validation_0000314,354.5,362.6,HammerThrow
video_validation_0000314,364.4,371.5,HammerThrow
video_validation_0000314,373.7,381.1,HammerThrow
video_validation_0000314,386.5,393.3,HammerThrow
video_validation_0000314,393.8,402.7,HammerThrow
video_validation_0000314,404.4,411.5,HammerThrow
video_validation_0000314,413.3,420.7,HammerThrow
video_validation_0000314,421.5,428.1,HammerThrow
video_validation_0000314,430.3,436.9,HammerThrow
video_validation_0000314,437.3,444.0,HammerThrow
video_validation_0000314,446.9,452.6,HammerThrow
video_validation_0000314,454.9,462.9,HammerThrow
video_validation_0000314,464.8,470.6,HammerThrow
video_validation_0000314,472.3,479.0,HammerThrow
video_validation_0000314,482.1,489.8,HammerThrow
video_validation_0000314,490.9,497.7,HammerThrow
video_validation_0000314,503.2,510.3,HammerThrow
video_validation_0000314,511.0,520.2,HammerThrow
video_validation_0000314,522.9,528.2,HammerThrow
video_validation_0000314,531.3,538.0,HammerThrow
video_validation_0000314,538.2,547.4,HammerThrow
video_validation_0000314,549.3,555.3,HammerThrow
video_validation_0000314,557.3,563.9,HammerThrow
video_validation_0000314,564.4,571.5,HammerThrow
video_validation_0000314,572.2,582.3,HammerThrow
video_validation_0000314,582.8,591.5,HammerThrow
video_validation_0000314,594.1,600.9,HammerThrow
video_validation_0000314,602.3,609.4,HammerThrow
video_validation_0000314,611.3,619.2,HammerThrow
video_validation_0000314,621.2,626.1,HammerThrow
video_validation_0000314,626.8,633.7,HammerThrow
video_validation_0000314,635.1,641.0,HammerThrow
video_validation_0000314,642.8,648.3,HammerThrow
video_validation_0000314,651.3,658.5,HammerThrow
video_validation_0000314,661.1,669.0,HammerThrow
video_validation_0000314,673.3,681.4,HammerThrow
video_validation_0000314,684.4,689.5,HammerThrow
video_validation_0000314,689.9,699.1,HammerThrow
video_validation_0000314,701.0,706.8,HammerThrow
video_validation_0000314,707.6,713.7,HammerThrow
video_validation_0000314,714.9,722.4,HammerThrow
video_validation_0000314,727.2,734.0,HammerThrow
video_validation_0000314,734.7,741.8,HammerThrow
video_validation_0000314,742.8,750.6,HammerThrow
video_validation_0000314,758.2,764.9,HammerThrow
video_validation_0000314,765.8,770.3,HammerThrow
video_validation_0000314,770.6,777.4,HammerThrow
video_validation_0000314,780.9,788.5,HammerThrow
video_validation_0000314,791.1,797.5,HammerThrow
video_validation_0000314,800.5,807.3,HammerThrow
video_validation_0000314,811.9,819.3,HammerThrow
video_validation_0000314,822.5,829.3,HammerThrow
video_validation_0000314,832.4,838.8,HammerThrow
video_validation_0000314,844.2,849.1,HammerThrow
video_validation_0000314,850.1,857.8,HammerThrow
video_validation_0000314,858.9,865.9,HammerThrow
video_validation_0000314,869.9,876.1,HammerThrow
video_validation_0000314,880.0,886.8,HammerThrow
video_validation_0000314,888.4,896.3,HammerThrow
video_validation_0000059,4.9,6.7,Billiards
video_validation_0000059,25.6,27.2,Billiards
video_validation_0000059,42.6,44.3,Billiards
video_validation_0000059,68.5,70.3,Billiards
video_validation_0000059,82.8,84.4,Billiards
video_validation_0000059,90.8,91.3,Billiards
video_validation_0000059,104.2,104.8,Billiards
video_validation_0000059,112.1,113.0,Billiards
video_validation_0000059,132.6,134.0,Billiards
video_validation_0000059,145.5,146.4,Billiards
video_validation_0000059,170.6,172.0,Billiards
video_validation_0000059,183.3,183.8,Billiards
video_validation_0000059,200.7,204.5,Billiards
video_validation_0000059,213.4,215.0,Billiards
video_validation_0000059,123.0,124.7,Billiards
video_validation_0000682,1.5,5.4,BaseballPitch
video_validation_0000682,79.3,83.9,BaseballPitch
video_validation_0000681,44.0,50.9,BaseballPitch
video_validation_0000937,4.5,4.8,TennisSwing
video_validation_0000937,8.3,9.3,TennisSwing
video_validation_0000937,11.4,12.6,TennisSwing
video_validation_0000937,13.6,15.3,TennisSwing
video_validation_0000937,15.9,17.2,TennisSwing
video_validation_0000937,22.6,24.1,TennisSwing
video_validation_0000937,39.7,40.8,TennisSwing
video_validation_0000937,41.5,42.3,TennisSwing
video_validation_0000937,44.0,45.0,TennisSwing
video_validation_0000315,4.8,15.1,HammerThrow
video_validation_0000315,24.2,31.2,HammerThrow
video_validation_0000315,41.1,50.8,HammerThrow
video_validation_0000315,59.2,67.4,HammerThrow
video_validation_0000315,75.0,84.2,HammerThrow
video_validation_0000315,94.5,100.6,HammerThrow
video_validation_0000315,120.1,127.8,HammerThrow
video_validation_0000154,5.4,11.6,CleanAndJerk
video_validation_0000154,13.0,19.7,CleanAndJerk
video_validation_0000154,21.4,29.3,CleanAndJerk
video_validation_0000688,77.6,81.9,BaseballPitch
video_validation_0000688,103.7,106.7,BaseballPitch
video_validation_0000688,127.3,130.1,BaseballPitch
video_validation_0000283,0.0,2.3,GolfSwing
video_validation_0000283,11.1,61.3,GolfSwing
video_validation_0000366,0.4,2.8,HighJump
video_validation_0000366,4.9,14.4,HighJump
video_validation_0000367,85.2,90.9,HighJump
video_validation_0000367,92.8,97.6,HighJump
video_validation_0000367,98.3,102.4,HighJump
video_validation_0000367,104.7,112.3,HighJump
video_validation_0000367,116.2,123.6,HighJump
video_validation_0000289,3.0,25.9,GolfSwing
video_validation_0000289,32.8,123.3,GolfSwing
video_validation_0000943,5.0,12.0,ThrowDiscus
video_validation_0000943,14.3,20.8,ThrowDiscus
video_validation_0000943,26.2,29.7,ThrowDiscus
video_validation_0000943,63.3,69.2,ThrowDiscus
video_validation_0000943,70.0,75.3,ThrowDiscus
video_validation_0000851,11.8,15.7,SoccerPenalty
video_validation_0000851,17.4,20.5,SoccerPenalty
video_validation_0000363,21.9,27.5,HighJump
video_validation_0000363,28.2,33.2,HighJump
video_validation_0000363,46.3,51.6,HighJump
video_validation_0000363,52.3,56.7,HighJump
video_validation_0000363,58.2,62.1,HighJump
video_validation_0000363,62.6,68.2,HighJump
video_validation_0000363,79.4,85.3,HighJump
video_validation_0000363,101.3,106.6,HighJump
video_validation_0000363,114.3,118.3,HighJump
video_validation_0000363,118.8,123.6,HighJump
video_validation_0000363,131.8,136.9,HighJump
video_validation_0000363,137.9,140.0,HighJump
video_validation_0000363,147.2,153.1,HighJump
video_validation_0000363,156.1,158.8,HighJump
video_validation_0000363,178.6,186.9,HighJump
video_validation_0000363,201.1,206.4,HighJump
video_validation_0000363,206.7,209.8,HighJump
video_validation_0000363,213.8,219.2,HighJump
video_validation_0000363,235.3,241.0,HighJump
video_validation_0000363,253.4,256.5,HighJump
video_validation_0000363,274.5,279.4,HighJump
video_validation_0000363,280.3,286.0,HighJump
video_validation_0000363,289.9,293.9,HighJump
video_validation_0000363,294.7,300.2,HighJump
video_validation_0000363,301.4,304.4,HighJump
video_validation_0000363,311.4,316.9,HighJump
video_validation_0000363,323.7,328.2,HighJump
video_validation_0000363,331.4,336.5,HighJump
video_validation_0000363,337.7,340.3,HighJump
video_validation_0000363,364.8,369.6,HighJump
video_validation_0000363,369.9,372.1,HighJump
video_validation_0000363,372.6,377.9,HighJump
video_validation_0000363,390.4,398.8,HighJump
video_validation_0000363,400.2,405.1,HighJump
video_validation_0000363,406.1,409.3,HighJump
video_validation_0000363,426.7,431.0,HighJump
video_validation_0000363,436.8,442.3,HighJump
video_validation_0000363,442.6,444.9,HighJump
video_validation_0000363,455.8,457.9,HighJump
video_validation_0000363,458.5,461.8,HighJump
video_validation_0000363,462.8,466.5,HighJump
video_validation_0000363,466.9,471.7,HighJump
video_validation_0000363,473.4,478.5,HighJump
video_validation_0000363,479.2,484.7,HighJump
video_validation_0000363,486.5,488.9,HighJump
video_validation_0000363,493.3,496.2,HighJump
video_validation_0000363,508.6,514.5,HighJump
video_validation_0000363,520.0,521.7,HighJump
video_validation_0000363,523.1,527.6,HighJump
video_validation_0000363,529.3,532.5,HighJump
video_validation_0000363,533.9,538.2,HighJump
video_validation_0000363,546.7,551.1,HighJump
video_validation_0000363,552.1,556.5,HighJump
video_validation_0000363,562.1,565.8,HighJump
video_validation_0000363,566.5,570.6,HighJump
video_validation_0000363,571.6,574.3,HighJump
video_validation_0000363,575.5,580.3,HighJump
video_validation_0000363,580.6,583.2,HighJump
video_validation_0000363,583.4,587.0,HighJump
video_validation_0000363,588.0,592.4,HighJump
video_validation_0000363,592.8,594.9,HighJump
video_validation_0000363,598.4,603.9,HighJump
video_validation_0000363,605.0,608.8,HighJump
video_validation_0000363,610.6,614.5,HighJump
video_validation_0000363,619.5,624.7,HighJump
video_validation_0000363,625.5,629.4,HighJump
video_validation_0000363,629.8,632.6,HighJump
video_validation_0000363,633.3,636.3,HighJump
video_validation_0000363,654.9,659.3,HighJump
video_validation_0000363,709.2,714.9,HighJump
video_validation_0000363,717.3,720.8,HighJump
video_validation_0000363,731.8,736.1,HighJump
video_validation_0000685,18.7,23.4,BaseballPitch
video_validation_0000685,23.4,26.7,BaseballPitch
video_validation_0000685,43.8,48.1,BaseballPitch
video_validation_0000685,55.1,58.2,BaseballPitch
video_validation_0000685,63.2,66.8,BaseballPitch
video_validation_0000685,67.2,71.3,BaseballPitch
video_validation_0000685,78.4,81.5,BaseballPitch
video_validation_0000157,0.3,9.6,CleanAndJerk
video_validation_0000157,10.7,49.6,CleanAndJerk
video_validation_0000935,34.2,35.7,TennisSwing
video_validation_0000935,37.8,39.0,TennisSwing
video_validation_0000935,41.3,42.5,TennisSwing
video_validation_0000935,44.4,45.7,TennisSwing
video_validation_0000935,47.6,48.8,TennisSwing
video_validation_0000935,51.5,53.1,TennisSwing
video_validation_0000935,54.4,55.6,TennisSwing
video_validation_0000935,57.9,59.0,TennisSwing
video_validation_0000935,61.0,62.7,TennisSwing
video_validation_0000935,64.3,65.7,TennisSwing
video_validation_0000935,67.8,70.1,TennisSwing
video_validation_0000057,9.4,11.7,Billiards
video_validation_0000057,43.7,47.6,Billiards
video_validation_0000057,70.1,73.7,Billiards
video_validation_0000057,80.4,83.3,Billiards
video_validation_0000057,91.5,96.8,Billiards
video_validation_0000057,104.8,107.1,Billiards
video_validation_0000057,112.7,117.6,Billiards
video_validation_0000057,140.3,142.4,Billiards
video_validation_0000057,148.4,150.1,Billiards
video_validation_0000057,159.7,163.3,Billiards
video_validation_0000057,185.8,189.0,Billiards
video_validation_0000057,196.5,201.9,Billiards
video_validation_0000057,215.8,220.8,Billiards
video_validation_0000288,79.5,84.0,GolfSwing
video_validation_0000288,105.8,109.2,GolfSwing
video_validation_0000361,74.6,78.6,HighJump
video_validation_0000361,101.9,106.8,HighJump
video_validation_0000361,112.5,116.5,HighJump
video_validation_0000361,117.4,122.5,HighJump
video_validation_0000361,127.0,132.7,HighJump
video_validation_0000361,152.2,154.1,HighJump
video_validation_0000361,157.3,160.8,HighJump
video_validation_0000361,160.9,163.9,HighJump
video_validation_0000361,172.1,183.7,HighJump
video_validation_0000361,188.8,192.7,HighJump
video_validation_0000361,194.9,199.9,HighJump
video_validation_0000361,204.0,208.0,HighJump
video_validation_0000361,214.1,218.6,HighJump
video_validation_0000361,227.4,232.1,HighJump
video_validation_0000361,235.7,239.3,HighJump
video_validation_0000361,244.9,249.9,HighJump
video_validation_0000361,250.3,252.7,HighJump
video_validation_0000361,257.7,261.5,HighJump
video_validation_0000361,265.3,270.8,HighJump
video_validation_0000361,272.4,279.4,HighJump
video_validation_0000361,280.5,285.9,HighJump
video_validation_0000361,286.5,290.5,HighJump
video_validation_0000361,293.1,303.1,HighJump
video_validation_0000361,303.7,308.8,HighJump
video_validation_0000361,318.4,322.1,HighJump
video_validation_0000361,325.1,329.6,HighJump
video_validation_0000361,330.8,334.4,HighJump
video_validation_0000361,336.3,340.0,HighJump
video_validation_0000361,342.2,344.2,HighJump
video_validation_0000361,346.8,351.1,HighJump
video_validation_0000361,360.0,364.5,HighJump
video_validation_0000361,373.1,387.1,HighJump
video_validation_0000361,394.5,400.5,HighJump
video_validation_0000361,400.8,403.2,HighJump
video_validation_0000361,410.6,414.2,HighJump
video_validation_0000361,414.6,419.1,HighJump
video_validation_0000361,419.5,422.7,HighJump
video_validation_0000361,429.9,436.7,HighJump
video_validation_0000361,442.3,447.5,HighJump
video_validation_0000361,448.3,449.4,HighJump
video_validation_0000361,458.4,461.4,HighJump
video_validation_0000361,465.3,472.3,HighJump
video_validation_0000361,473.8,476.7,HighJump
video_validation_0000361,483.4,487.8,HighJump
video_validation_0000361,505.5,510.1,HighJump
video_validation_0000361,512.4,516.1,HighJump
video_validation_0000361,520.9,524.5,HighJump
video_validation_0000361,531.0,536.0,HighJump
video_validation_0000361,577.4,579.5,HighJump
video_validation_0000361,579.7,581.6,HighJump
video_validation_0000361,583.8,584.9,HighJump
video_validation_0000361,589.2,591.9,HighJump
video_validation_0000361,592.7,597.2,HighJump
video_validation_0000361,597.6,605.0,HighJump
video_validation_0000361,630.0,635.7,HighJump
video_validation_0000361,642.9,644.7,HighJump
video_validation_0000361,646.0,648.3,HighJump
video_validation_0000361,667.9,671.7,HighJump
video_validation_0000361,672.2,676.9,HighJump
video_validation_0000286,172.4,178.6,GolfSwing
video_validation_0000155,35.6,45.2,CleanAndJerk
video_validation_0000051,67.5,75.9,Billiards
video_validation_0000051,85.9,90.6,Billiards
video_validation_0000051,139.3,148.2,Billiards
video_validation_0000316,166.7,175.3,HammerThrow
video_validation_0000316,175.9,179.7,HammerThrow
video_validation_0000316,180.7,189.6,HammerThrow
video_validation_0000316,190.1,193.2,HammerThrow
video_validation_0000316,194.3,197.0,HammerThrow
video_validation_0000316,198.1,201.3,HammerThrow
video_validation_0000156,3.5,10.7,CleanAndJerk
video_validation_0000156,19.5,27.2,CleanAndJerk
video_validation_0000156,116.8,121.5,CleanAndJerk
video_validation_0000156,127.2,133.4,CleanAndJerk
video_validation_0000156,144.9,151.4,CleanAndJerk
video_validation_0000156,164.8,173.9,CleanAndJerk
video_validation_0000156,184.7,192.9,CleanAndJerk
video_validation_0000156,226.1,234.6,CleanAndJerk
video_validation_0000939,71.0,73.2,TennisSwing
video_validation_0000939,74.7,77.0,TennisSwing
video_validation_0000939,78.9,80.7,TennisSwing
video_validation_0000939,86.2,91.5,TennisSwing
video_validation_0000939,16.8,19.4,TennisSwing
video_validation_0000939,19.4,22.2,TennisSwing
video_validation_0000939,33.0,34.1,TennisSwing
video_validation_0000939,34.9,37.3,TennisSwing
video_validation_0000939,38.8,40.8,TennisSwing
video_validation_0000939,42.4,44.8,TennisSwing
video_validation_0000939,51.6,54.2,TennisSwing
video_validation_0000939,54.8,56.8,TennisSwing
video_validation_0000152,12.8,28.4,CleanAndJerk
video_validation_0000152,56.0,62.6,CleanAndJerk
video_validation_0000152,98.1,124.8,CleanAndJerk
video_validation_0000942,1.3,9.8,ThrowDiscus
video_validation_0000942,18.8,26.8,ThrowDiscus
video_validation_0000942,40.0,44.2,ThrowDiscus
video_validation_0000942,53.0,60.4,ThrowDiscus
video_validation_0000284,13.0,19.2,GolfSwing
video_validation_0000284,22.4,42.7,GolfSwing
video_validation_0000284,43.9,47.0,GolfSwing
video_validation_0000284,47.6,50.8,GolfSwing
video_validation_0000940,9.3,13.3,TennisSwing
video_validation_0000940,13.7,18.1,TennisSwing
video_validation_0000858,39.6,44.5,SoccerPenalty
video_validation_0000858,55.8,58.8,SoccerPenalty
video_validation_0000319,4.2,8.9,HammerThrow
video_validation_0000319,17.8,24.4,HammerThrow
video_validation_0000319,44.2,49.7,HammerThrow
video_validation_0000319,63.1,68.7,HammerThrow
video_validation_0000319,93.5,97.7,HammerThrow
video_validation_0000319,116.1,121.3,HammerThrow
video_validation_0000319,169.3,174.6,HammerThrow
video_validation_0000319,187.0,197.1,HammerThrow
video_validation_0000319,228.2,231.9,HammerThrow
video_validation_0000319,251.8,256.5,HammerThrow
video_validation_0000287,29.2,33.5,GolfSwing
video_validation_0000287,39.9,44.9,GolfSwing
video_validation_0000287,57.9,63.8,GolfSwing
video_validation_0000287,77.3,88.7,GolfSwing
video_validation_0000668,0.0,13.6,PoleVault
video_validation_0000668,14.0,23.0,PoleVault
video_validation_0000668,23.4,28.7,PoleVault
video_validation_0000668,29.0,35.4,PoleVault
video_validation_0000668,35.6,39.6,PoleVault
video_validation_0000668,39.8,45.5,PoleVault
video_validation_0000668,46.6,50.7,PoleVault
video_validation_0000668,51.1,58.3,PoleVault
video_validation_0000668,58.6,63.3,PoleVault
video_validation_0000668,63.8,70.7,PoleVault
video_validation_0000668,70.9,78.3,PoleVault
video_validation_0000668,79.4,84.5,PoleVault
video_validation_0000668,85.0,91.8,PoleVault
video_validation_0000668,92.2,96.6,PoleVault
video_validation_0000668,97.1,103.2,PoleVault
video_validation_0000668,104.2,108.5,PoleVault
video_validation_0000668,108.9,115.3,PoleVault
video_validation_0000668,117.2,122.6,PoleVault
video_validation_0000668,123.3,129.8,PoleVault
video_validation_0000668,132.7,137.0,PoleVault
video_validation_0000668,137.7,145.2,PoleVault
video_validation_0000668,146.8,151.8,PoleVault
video_validation_0000668,152.6,159.2,PoleVault
video_validation_0000668,159.6,164.2,PoleVault
video_validation_0000668,164.7,172.1,PoleVault
video_validation_0000668,173.0,177.9,PoleVault
video_validation_0000668,178.3,185.0,PoleVault
video_validation_0000668,188.0,193.1,PoleVault
video_validation_0000668,193.6,199.7,PoleVault
video_validation_0000668,200.9,206.9,PoleVault
video_validation_0000668,207.4,214.6,PoleVault
video_validation_0000668,216.9,231.2,PoleVault
video_validation_0000668,232.2,237.3,PoleVault
video_validation_0000668,237.9,244.1,PoleVault
video_validation_0000668,246.0,251.4,PoleVault
video_validation_0000668,252.0,258.5,PoleVault
video_validation_0000668,259.3,266.0,PoleVault
video_validation_0000668,267.0,272.1,PoleVault
video_validation_0000668,272.5,277.3,PoleVault
video_validation_0000668,277.9,284.8,PoleVault
video_validation_0000668,285.9,291.1,PoleVault
video_validation_0000668,291.6,297.8,PoleVault
video_validation_0000668,300.1,311.9,PoleVault
video_validation_0000668,312.3,320.0,PoleVault
video_validation_0000668,321.9,326.7,PoleVault
video_validation_0000668,327.2,332.6,PoleVault
video_validation_0000668,333.2,367.1,PoleVault
video_validation_0000317,5.5,16.1,HammerThrow
video_validation_0000317,53.6,57.0,HammerThrow
video_validation_0000317,60.6,68.9,HammerThrow
video_validation_0000317,100.2,102.9,HammerThrow
video_validation_0000317,105.2,112.5,HammerThrow
video_validation_0000317,137.1,141.3,HammerThrow
video_validation_0000317,151.1,159.5,HammerThrow
video_validation_0000317,197.5,202.1,HammerThrow
video_validation_0000948,0.0,24.7,ThrowDiscus
video_validation_0000945,2.4,7.0,ThrowDiscus
video_validation_0000945,28.0,29.3,ThrowDiscus
video_validation_0000945,29.5,31.9,ThrowDiscus
video_validation_0000945,32.2,35.5,ThrowDiscus
video_validation_0000945,36.0,42.0,ThrowDiscus
video_validation_0000945,42.3,45.8,ThrowDiscus
video_validation_0000945,46.2,52.3,ThrowDiscus
video_validation_0000945,52.6,56.4,ThrowDiscus
video_validation_0000945,56.6,61.8,ThrowDiscus
video_validation_0000945,62.2,66.4,ThrowDiscus
video_validation_0000945,66.7,72.2,ThrowDiscus
video_validation_0000945,72.5,76.1,ThrowDiscus
video_validation_0000945,76.3,82.4,ThrowDiscus
video_validation_0000945,82.6,86.5,ThrowDiscus
video_validation_0000945,86.8,91.7,ThrowDiscus
video_validation_0000945,91.9,97.8,ThrowDiscus
video_validation_0000945,98.0,101.5,ThrowDiscus
video_validation_0000945,101.8,109.4,ThrowDiscus
video_validation_0000945,109.5,115.2,ThrowDiscus
video_validation_0000945,115.4,121.0,ThrowDiscus
video_validation_0000945,121.4,123.7,ThrowDiscus
video_validation_0000370,86.4,92.5,HighJump
video_validation_0000370,95.5,98.8,HighJump
video_validation_0000370,131.5,139.0,HighJump
video_validation_0000370,143.5,146.1,HighJump
video_validation_0000370,146.4,149.1,HighJump
video_validation_0000370,173.5,178.6,HighJump
video_validation_0000370,184.9,188.5,HighJump
video_validation_0000370,190.2,194.1,HighJump
video_validation_0000370,239.1,243.6,HighJump
video_validation_0000370,250.1,253.1,HighJump
video_validation_0000370,254.6,258.1,HighJump
video_validation_0000370,287.5,293.4,HighJump
video_validation_0000370,297.2,301.7,HighJump
video_validation_0000370,303.5,307.3,HighJump
video_validation_0000370,330.0,334.5,HighJump
video_validation_0000370,351.9,355.3,HighJump
video_validation_0000370,356.6,361.8,HighJump
video_validation_0000370,397.0,401.8,HighJump
video_validation_0000370,409.1,413.2,HighJump
video_validation_0000370,445.8,451.8,HighJump
video_validation_0000370,463.4,467.0,HighJump
video_validation_0000370,467.9,470.9,HighJump
video_validation_0000370,477.4,482.3,HighJump
video_validation_0000370,547.7,552.1,HighJump
video_validation_0000370,562.8,566.6,HighJump
video_validation_0000370,611.1,615.3,HighJump
video_validation_0000370,566.9,569.7,HighJump
video_validation_0000281,169.7,175.3,GolfSwing
video_validation_0000281,221.6,225.3,GolfSwing
video_validation_0000285,74.2,81.8,GolfSwing
video_validation_0000311,0.0,1.5,HammerThrow
video_validation_0000311,13.9,21.5,HammerThrow
video_validation_0000311,55.4,63.6,HammerThrow
video_validation_0000311,75.3,81.4,HammerThrow
video_validation_0000311,94.9,101.4,HammerThrow
video_validation_0000311,115.2,125.0,HammerThrow
video_validation_0000311,139.3,149.8,HammerThrow
video_validation_0000311,179.1,186.1,HammerThrow
video_validation_0000311,198.4,206.6,HammerThrow
video_validation_0000311,244.0,253.1,HammerThrow
video_validation_0000311,266.2,273.6,HammerThrow
video_validation_0000311,309.4,320.2,HammerThrow
video_validation_0000311,334.8,344.4,HammerThrow
video_validation_0000311,357.1,364.7,HammerThrow
video_validation_0000311,377.7,385.8,HammerThrow
video_validation_0000311,419.6,429.7,HammerThrow
video_validation_0000311,446.6,456.4,HammerThrow
video_validation_0000311,509.8,521.0,HammerThrow
video_validation_0000311,533.0,540.9,HammerThrow
video_validation_0000311,564.8,573.9,HammerThrow
video_validation_0000311,587.0,594.7,HammerThrow
video_validation_0000311,605.8,611.1,HammerThrow
video_validation_0000311,635.4,644.8,HammerThrow
video_validation_0000311,661.0,668.5,HammerThrow
video_validation_0000311,677.3,685.2,HammerThrow
video_validation_0000311,207.2,213.5,HammerThrow
video_validation_0000311,345.2,351.8,HammerThrow
video_validation_0000311,386.2,393.0,HammerThrow
video_validation_0000311,456.8,466.5,HammerThrow
video_validation_0000936,0.5,6.5,TennisSwing
video_validation_0000936,19.4,27.9,TennisSwing
video_validation_0000936,28.7,32.4,TennisSwing
video_validation_0000936,37.8,42.0,TennisSwing
video_validation_0000153,4.3,10.9,CleanAndJerk
video_validation_0000153,16.3,21.1,CleanAndJerk
